Phase Field,Target
Ga Mo Sn,0
Bi Ho Pd,0
Au Os Zr,0
Au Ge Mn Nd,0
Li Na Sn,0
Ca Ge Li,0
Ca Ge Lu Rh,0
Ca Ge Mn,0
Ca Ge Rh,0
Ca Ge Ru,0
Ca Ge Zn,0
Ca Li Sb,0
Ge Os Tm Y,0
Cd Cu Sb,0
Cd Ge Li,0
Cd Li Sb,0
Cd Sb,0
Ce Cu Ge,0
Ce Ga Ge,0
Ce Ge Ni,0
Ce Ge Pd,0
Ce Ge Sc,0
Cf Sb,0
Cm Sb,0
Co Cr Ge Mn,0
Co Er Ge,1
Co Fe Ge,0
Co Ga Ge,0
Co Ge Ho,1
Co Ge Nb,1
Co Ge Nd,0
Co Ge Np,0
Co Ge Pr,0
Co Ge Sc,1
Co Ge Tb,1
Co Ge Ti,1
Co Ge U,1
Co Ge Y,1
Co Ge Zn,0
Co Ir Mn Sb,0
Mo Sn,0
Ba Ge Ru,0
Ge Ru Sr,0
Ge Rh Sr,0
Ba Ge Rh,0
Ba Ge Zn,0
Ba Cd Ge,0
In K Na Sb,0
Ba Cu Sb,0
Ga K Na Sb,0
Cu Mg Sb,0
Eu Ge Rh,0
Ge Rh Yb,0
Ge Ho Rh,0
Al Sb Sr,0
Al Ba Sb,0
Al Ge U,0
Mg Tm,1
Mn Pr,1
Er Mn,1
Ir La,1
Ce Mn Ni,1
Co Ga Sm,1
Fe Ti Y,0
Hf Rh,1
Hf Ir,1
Ba Ca Mg Sb Yb,0
Co Ge Sm,0
Al Mn Ni,1
Ge Pt Y,0
Ge Pr Pt,0
Ge Pt Sm,0
Ge Pt Tm,0
Ge In Ni Yb,0
Al Au Sr,0
Co Pd Zn,0
Au Mn Y,0
Au Gd Mn,0
Ga Ho Mn,1
Er Ga,1
Er Ga Mn,1
Ga Tm,1
Ga Mn Tm,1
Nb Pt,0
Gd In Ni,1
Gd In Pd,0
Al Ni Zr,1
Os U,1
Ir U,1
Pd Rh U,1
Pd U,1
Rh U,1
Al Ce Ni Ru,1
Bi K Zn,0
Ir Sn Yb,0
Mg Na Pb,0
Dy Mg Ru,0
Co Ni U,1
Co Ni V,1
Co Ni Y,1
Co Ni Zr,1
Co Np,1
Co Pr,1
Co Pr Sm,1
Co Pr Sm Zr,1
Co Pr Yb,1
Co Pr Zr,1
Co Pu,1
Co Re Zr,1
Co Rh Sn,0
Co Sb,0
Co Sb Sn,0
Co Sb U,0
Co Sb V,0
Co Sc Sn,0
Co Sm Sn,0
Co Sm Ti,0
Co Sm V,0
Co Sm Y,1
Co Sm Y Zr,1
Co Sm Zr,1
Co Sn,1
Co Sn Tb,1
Co Sn Th,0
Co Sn Tm,1
Co Sn U,1
Co Sn V,0
Co Sn Y,1
Co Sn Yb,0
Co Sn Zr,0
Co Ta,1
Co Ta Ti,1
Co Ta V,1
Co Cr In,0
Co In Mo,0
Co Nb Sn,0
Co In W,0
Al Ba Sn,0
Au Na Sn,0
Cd Sb Tl,0
Fe Ni Sb,0
Sb Sr Zn,0
Ag Na Sb,0
Cd K Pb,0
Co Ga Y,1
In Li,0
Li Tl,0
Ir Sc,1
Os Sc,1
La Sb,0
Pt Tb,1
Eu In Pt,1
Ca Cd Sb,0
Cd Sb Sr,0
Na Sb Zn,0
Cd Na Sb,0
Al Dy,1
Cs Sb,0
Al Ca Pt,0
Al Ca Ir,0
Al Eu Rh,0
Al Co Gd La Mg Ni,1
Rh Sc Sn,0
Er Ge Re,0
Co Mg,1
In K,0
In La Ni,1
In La Pt,1
In La Rh,0
In La Sn,1
In Li Mg,0
