,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
3011,104808,104808,"['LuNi4Sn-104808-Cagome_big.gph', 'LuNi4Sn-104808-Cagome_big_1.gph']",intermetallics_search_104808.cif
3012,104812,104812,['LuPb3-104812-Cagome_big.gph'],intermetallics_search_104812.cif
3013,104815,104815,['LuPd3-104815-Cagome_big.gph'],intermetallics_search_104815.cif
3014,104816,104816,['LuPd3-104816-Cagome_big.gph'],intermetallics_search_104816.cif
3015,104820,104820,['LuPt3-104820-Cagome_big.gph'],intermetallics_search_104820.cif
3016,104822,104822,['Lu0.275Rh0.725-104822-Cagome_big.gph'],intermetallics_search_104822.cif
3017,104823,104823,['LuRh2-104823-Cagome_big.gph'],intermetallics_search_104823.cif
3018,104826,104826,"['Tb0.467Lu0.533-104826-Cagome_big.gph', 'Tb0.467Lu0.533-104826-Cagome_big_1.gph', 'Tb0.467Lu0.533-104826-Cagome_big_2.gph', 'Tb0.467Lu0.533-104826-Cagome_big_3.gph']",intermetallics_search_104826.cif
3019,104827,104827,"['Lu0.4Th0.6-104827-Cagome_big.gph', 'Lu0.4Th0.6-104827-Cagome_big_1.gph']",intermetallics_search_104827.cif
3020,104828,104828,"['(Lu0.8Th0.2)-104828-Cagome_big.gph', '(Lu0.8Th0.2)-104828-Cagome_big_1.gph', '(Lu0.8Th0.2)-104828-Cagome_big_2.gph', '(Lu0.8Th0.2)-104828-Cagome_big_3.gph']",intermetallics_search_104828.cif
3021,104829,104829,['LuTl3-104829-Cagome_big.gph'],intermetallics_search_104829.cif
3022,104835,104835,['Mg2Nd-104835-Cagome_big.gph'],intermetallics_search_104835.cif
3023,104838,104838,"['MgNi2-104838-Cagome_big.gph', 'MgNi2-104838-Cagome_big_1.gph', 'MgNi2-104838-Cagome_big_2.gph']",intermetallics_search_104838.cif
